0.0,0.0893,0.0468,0.0456,0.0344,0.0156,0.0401,0.0289,0.0862,0.0607,0.0363,0.0087,0.0321,0.0409,0.0194,0.0585,0.0249,0.0008,0.0213,0.0852,0.1315,0.0126,0.0018,0.0545,0.0,0.0237,0.0003
0.0797,0.0007,0.0157,0.0536,0.0304,0.0,0.0056,0.0253,0.0062,0.0341,0.0001,0.0237,0.0953,0.024,0.166,0.0012,0.0196,0.0,0.1043,0.0631,0.1225,0.029,0.0169,0.0097,0.0005,0.0684,0.0043
0.0262,0.1841,0.0134,0.0,0.0,0.2494,0.0,0.0,0.0012,0.0213,0.0012,0.0,0.0896,0.0,0.003,0.1561,0.0,0.0,0.0634,0.0122,0.0,0.1268,0.0,0.0134,0.0,0.0384,0.0
0.0209,0.1292,0.0,0.0015,0.0007,0.1311,0.0,0.0,0.1128,0.0478,0.0,0.158,0.0904,0.0011,0.0,0.1397,0.0,0.0,0.0784,0.0007,0.0478,0.0347,0.0,0.0,0.0,0.0049,0.0
0.4629,0.0436,0.0019,0.0027,0.0109,0.0963,0.0013,0.0045,0.0005,0.0947,0.0019,0.0,0.008,0.0021,0.0096,0.1365,0.0005,0.0003,0.0301,0.0527,0.0029,0.0093,0.0,0.0024,0.0,0.0245,0.0
0.3518,0.064,0.0024,0.0133,0.0464,0.042,0.0044,0.0018,0.0064,0.005,0.0014,0.0013,0.0267,0.0138,0.0604,0.0035,0.0131,0.0001,0.1724,0.0891,0.0377,0.0008,0.0142,0.0058,0.009,0.0129,0.0003
0.2842,0.0812,0.0005,0.0015,0.0024,0.0543,0.0602,0.0005,0.0015,0.09,0.001,0.0005,0.0484,0.0005,0.0,0.1468,0.0005,0.0,0.1429,0.0015,0.0279,0.0504,0.0,0.002,0.0,0.0015,0.0
0.4771,0.0502,0.0003,0.0003,0.0,0.0896,0.0003,0.0067,0.1221,0.0413,0.0022,0.0,0.0302,0.0003,0.0118,0.0747,0.0003,0.0,0.0353,0.0137,0.0013,0.0407,0.0,0.0006,0.0,0.001,0.0
0.0662,0.1311,0.0006,0.0,0.0003,0.4423,0.0,0.0,0.0021,0.21,0.0003,0.0001,0.0004,0.0,0.001,0.0829,0.0,0.0,0.014,0.0049,0.0309,0.0081,0.0,0.0,0.0,0.0047,0.0
0.0405,0.0102,0.0013,0.036,0.0382,0.0348,0.0137,0.0371,0.0,0.0,0.0,0.013,0.0451,0.0531,0.3531,0.0233,0.0093,0.0,0.0252,0.1252,0.122,0.0005,0.0157,0.0,0.0004,0.0,0.0022
0.0,0.0214,0.0,0.0,0.0,0.0117,0.0,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.8216,0.0,0.0,0.0,0.0,0.0,0.1404,0.0,0.0,0.0,0.0,0.0
0.2005,0.0158,0.0004,0.0,0.0,0.49,0.0004,0.0012,0.0035,0.1184,0.0015,0.0008,0.0305,0.0004,0.0359,0.0008,0.0,0.0,0.0,0.0925,0.0019,0.0004,0.0,0.0039,0.0,0.0015,0.0
